wo_id,part_number,qty
WO-000001,IC-2042-A,1
WO-000001,IC-2044-A,1
WO-000002,IC-2042-A,1
WO-000002,IC-2044-A,1
WO-000003,IC-2042-A,1
WO-000003,IC-2044-A,1
WO-000004,IC-2042-A,1
WO-000004,IC-2044-A,1
WO-000005,IC-2042-A,1
WO-000005,IC-2044-A,1
WO-000006,IC-2042-A,1
WO-000006,IC-2044-A,1
WO-000007,IC-2042-A,1
WO-000007,IC-2044-A,1
WO-000008,IC-2042-A,1
WO-000008,IC-2044-A,1
WO-000009,IC-2042-A,1
WO-000009,IC-2044-A,1
WO-000010,IC-2042-A,1
WO-000010,IC-2044-A,1
WO-000011,IC-2042-A,1
WO-000011,IC-2044-A,1
WO-000012,IC-2042-A,1
WO-000012,IC-2044-A,1
WO-000013,IC-2042-A,1
WO-000013,IC-2044-A,1
WO-000014,IC-2042-A,1
WO-000014,IC-2044-A,1
WO-000015,IC-2042-B,1
WO-000015,IC-2044-A,1
WO-000016,IC-2042-B,1
WO-000016,IC-2044-A,1
WO-000017,IC-2042-B,1
WO-000017,IC-2044-A,1
WO-000018,IC-2042-B,1
WO-000018,IC-2044-A,1
WO-000019,IC-2042-B,1
WO-000019,IC-2044-A,1
WO-000020,IC-2042-B,1
WO-000020,IC-2044-A,1
WO-000021,IC-2042-B,1
WO-000021,IC-2044-A,1
WO-000022,IC-2042-B,1
WO-000022,IC-2044-A,1
WO-000023,IC-2042-B,1
WO-000023,IC-2044-A,1
WO-000024,IC-2042-B,1
WO-000024,IC-2044-A,1
WO-000025,IC-2042-B,1
WO-000025,IC-2044-A,1
WO-000026,IC-2042-B,1
WO-000026,IC-2044-A,1
WO-000027,IC-2042-B,1
WO-000027,IC-2044-A,1
WO-000028,IC-2042-B,1
WO-000028,IC-2044-A,1
WO-000029,IC-2042-B,1
WO-000029,IC-2044-A,1
WO-000030,IC-2042-B,1
WO-000030,IC-2044-A,1
WO-000031,IC-2042-B,1
WO-000031,IC-2044-A,1
WO-000032,IC-2042-B,1
WO-000032,IC-2044-A,1
WO-000033,IC-2042-B,1
WO-000033,IC-2044-A,1
WO-000034,IC-2042-B,1
WO-000034,IC-2044-A,1
WO-000035,IC-2042-B,1
WO-000035,IC-2044-A,1
WO-000036,IC-2042-B,1
WO-000036,IC-2044-A,1
WO-000037,IC-2042-A,1
WO-000037,IC-2044-A,1
WO-000038,IC-2042-A,1
WO-000038,IC-2044-A,1
WO-000039,IC-2042-A,1
WO-000039,IC-2044-A,1
WO-000040,IC-2042-A,1
WO-000040,IC-2044-A,1
WO-000041,IC-2042-A,1
WO-000041,IC-2044-A,1
WO-000042,IC-2042-A,1
WO-000042,IC-2044-A,1
WO-000043,IC-2042-A,1
WO-000043,IC-2044-A,1
WO-000044,IC-2042-A,1
WO-000044,IC-2044-A,1
WO-000045,IC-2042-A,1
WO-000045,IC-2044-A,1
WO-000046,IC-2042-A,1
WO-000046,IC-2044-A,1
WO-000047,IC-2042-A,1
WO-000047,IC-2044-A,1
WO-000048,IC-2042-A,1
WO-000048,IC-2044-A,1
WO-000049,IC-2042-A,1
WO-000049,IC-2044-A,1
WO-000050,IC-2042-B,1
WO-000050,IC-2044-A,1
WO-000051,IC-2042-B,1
WO-000051,IC-2044-A,1
WO-000052,IC-2042-B,1
WO-000052,IC-2044-A,1
WO-000053,IC-2042-B,1
WO-000053,IC-2044-A,1
WO-000054,IC-2042-B,1
WO-000054,IC-2044-A,1
WO-000055,IC-2042-B,1
WO-000055,IC-2044-A,1
WO-000056,IC-2042-B,1
WO-000056,IC-2044-A,1
WO-000057,IC-2042-B,1
WO-000057,IC-2044-A,1
WO-000058,IC-2042-B,1
WO-000058,IC-2044-A,1
WO-000059,IC-2042-B,1
WO-000059,IC-2044-A,1
WO-000060,IC-2042-B,1
WO-000060,IC-2044-A,1
WO-000061,IC-2042-B,1
WO-000061,IC-2044-A,1
WO-000062,IC-2042-B,1
WO-000062,IC-2044-A,1
WO-000063,IC-2042-B,1
