wo_id,vin,opened,odometer,complaint,dtc_code,procedure_id,comeback
WO-000001,FAL20T20190053,2023-11-24,105522,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000002,FAL20T20210099,2025-12-19,131731,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000003,FAL20T20190023,2025-02-15,76692,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000004,FAL20T20220080,2025-02-14,51771,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000005,FAL20T20210091,2025-11-06,52775,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000006,FAL20T20230061,2024-01-20,132530,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000007,FAL20T20190086,2025-03-21,62998,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000008,FAL20T20190049,2024-02-02,52928,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000009,FAL20T20220020,2025-04-17,65640,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000010,FAL20T20210073,2024-09-07,114017,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000011,FAL20T20220002,2025-06-17,64938,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000012,FAL20T20220058,2023-11-06,71444,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000013,FAL20T20220015,2025-10-12,103567,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000014,FAL20T20210035,2024-07-02,21744,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000015,FAL20T20190053,2025-12-22,66153,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000016,FAL20T20190013,2023-05-24,72491,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000017,FAL20T20200067,2023-07-15,47788,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000018,FAL20T20210099,2023-11-07,81493,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000019,FAL20T20210092,2023-03-12,107298,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000020,FAL20T20230052,2024-05-25,91862,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000021,FAL20T20210099,2024-06-26,131498,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000022,FAL20T20210090,2024-11-09,75850,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000023,FAL20T20230061,2023-12-26,56858,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000024,FAL20T20200083,2024-06-16,83559,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000025,FAL20T20200081,2023-11-12,40021,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000026,FAL20T20190049,2023-02-27,94001,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000027,FAL20T20200017,2025-06-21,96343,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000028,FAL20T20200001,2023-02-21,58403,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000029,FAL20T20190012,2025-03-28,50623,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000030,FAL20T20230057,2024-03-07,138500,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000031,FAL20T20190068,2023-10-23,99739,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000032,FAL20T20200011,2025-09-26,103439,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000033,FAL20T20230025,2024-12-07,89572,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000034,FAL20T20220056,2025-02-18,35521,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000035,FAL20T20220029,2023-08-16,93033,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000036,FAL20T20210059,2023-12-16,52317,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000037,FAL1620200176,2025-01-06,130201,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000038,FAL1620190189,2025-08-22,58904,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000039,FAL1620200147,2024-07-22,29882,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000040,FAL1620230146,2025-11-01,22694,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000041,FAL1620210187,2025-06-26,32317,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000042,FAL1620220162,2023-01-07,114133,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000043,FAL1620190116,2024-02-28,106379,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000044,FAL1620230160,2025-09-25,139581,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000045,FAL1620230155,2024-07-09,92617,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000046,FAL1620200137,2024-06-27,84714,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000047,FAL1620220164,2024-09-12,46677,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000048,FAL1620220115,2024-04-11,113478,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000049,FAL1620220175,2025-02-26,25249,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000050,FAL1620220170,2024-09-19,26514,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000051,FAL1620230113,2023-01-07,127736,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000052,FAL1620190177,2025-01-26,85646,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000053,FAL1620210178,2024-10-05,102157,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000054,FAL1620230188,2025-11-03,47852,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000055,FAL1620190181,2024-11-25,42793,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000056,FAL1620220123,2023-07-25,33186,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000057,FAL1620230183,2023-06-28,127821,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000058,FAL1620190139,2025-12-09,133043,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000059,FAL1620230153,2023-06-01,76449,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000060,FAL1620200174,2023-08-19,88439,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000061,FAL1620220115,2024-10-23,73038,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000062,FAL1620190101,2025-07-20,97590,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000063,FAL1620200184,2023-08-25,74056,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000064,FAL1620220110,2025-08-07,137410,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000065,FAL1620190101,2024-01-01,109621,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000066,FAL1620210111,2023-02-05,81909,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000067,FAL1620230192,2025-04-15,116148,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000068,FAL1620210106,2024-12-23,111074,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000069,FAL1620220193,2023-05-21,93071,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000070,FAL1620200158,2025-05-02,114006,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000071,HER2520190201,2025-11-27,101031,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000072,HER2520220239,2024-12-20,41757,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000073,HER2520210262,2025-01-11,68177,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000074,HER2520220293,2024-08-22,41819,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000075,HER2520230214,2024-11-06,102536,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000076,HER2520200261,2024-08-09,122842,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000077,HER2520230242,2024-05-02,101506,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000078,HER2520200290,2025-06-28,99406,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000079,HER2520190201,2023-10-27,60448,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000080,HER2520230231,2024-07-22,69309,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000081,HER2520210229,2024-05-23,20220,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000082,HER2520210234,2024-03-19,126952,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000083,HER2520220205,2024-03-26,136734,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000084,HER2520200273,2023-05-28,124498,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000085,HER2520200287,2024-06-18,31149,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000086,HER2520210262,2024-04-26,118328,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000087,HER2520210229,2024-10-02,108822,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000088,HER2520200290,2023-05-19,118452,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000089,HER2520210249,2024-09-03,90274,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000090,HER2520200298,2023-04-13,95968,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000091,HER2520230233,2025-06-16,86344,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000092,HER2520190224,2023-04-03,43683,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000093,HER2520200237,2024-10-19,67040,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000094,HER2520230266,2023-04-02,84653,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000095,HER2520200213,2024-11-15,123199,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000096,HER2520200240,2025-01-12,56771,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000097,MAREV120230812,2023-04-28,133519,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000098,MAREV120220875,2025-04-09,122130,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000099,MAREV120230812,2024-10-27,99786,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000100,MAREV120230832,2023-06-07,43689,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000101,MAREV120210803,2023-01-18,68448,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000102,MAREV120190858,2024-02-28,98389,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000103,MAREV120210815,2025-02-09,61774,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000104,MAREV120210882,2023-11-17,71526,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000105,MAREV120220820,2024-04-24,49061,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000106,MAREV120230832,2024-01-18,138564,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000107,MAREV120220806,2024-09-23,116937,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000108,MAREV120230861,2023-02-05,61639,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000109,MAREV120220825,2025-12-10,97304,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000110,MAREV120220897,2025-02-16,62456,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000111,MAREV120230849,2023-06-16,69760,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000112,MAREV120190830,2023-11-01,81328,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000113,MAREV120190824,2023-03-27,48908,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000114,MAREV120200879,2024-12-05,122015,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000115,MAREV120230812,2024-01-21,29850,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000116,MAREV120190843,2024-04-16,35153,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000117,MAREV120220818,2024-04-24,27435,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000118,MAREV120190857,2025-03-15,134127,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000119,MAREV120210853,2024-04-05,23331,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000120,MAREV120200837,2024-03-09,84357,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000121,MAREV120190858,2024-02-05,87299,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000122,MAREV120200885,2023-09-16,129482,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000123,MAREV220210996,2023-06-14,54278,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
